"NUM_JOUR_ENC"	"COMPAGNIE"	"DATE_CREATION"	"TOTAL_MONTANT_ENC"	"TOTAL_JOUR_DEPENSE"	"TOTAL_JOUR_COMMISSION"	"TOTAL_MONTANT_ENC_NET"	"NUM_JOUR_DEPENSE"	"NOTES"	"MONTANT_REG_ENC"	"DATE_REG_ENC"	"TYPE_REG_ENC"	"DATE_ECHEANCE_ENC"	"NUM_CHEQUE_ENC"	"BANQUE_ENC"	"NOTES_ENC"	"MONTANT_REG_RS"	"DATE_REG_RS"	"TYPE_REG_RS"	"DATE_ECHEANCE_RS"	"NUM_CHEQUE_RS"	"BANQUE_RS"	"NOTES_RS"	"NUM_JOUR_ENC_COMPAGNIE"	"TOTAL_JOUR_COMMISSION_NEG"	"TOTAL_JOUR_COMMISSION_RS"	"TOTAL_JOUR_COMMISSION_NEG_RS"
1	"BH ASSU"	03/01/26	25130,872	0	0	25130,872		""			"C"		""	""	""			"C"		""	""	""	1	0	0	0
2	"COMAR"	17/04/26	7911,8	0	942,325	7063,708		""			"C"		""	""	""			"C"		""	""	""	1	0	94,233	0
